index,close,liveClose,Short_SMA,Long_SMA
1,4611.89,4611.89,,
2,4611.89,4610.92,,
3,4610.92,4610.17,,
4,4610.17,4610.46,,
5,4610.46,4610.39,,
6,4610.39,4612.38,,
7,4612.38,4613.48,,
8,4613.48,4610.42,,
9,4610.42,4612.22,,
10,4612.22,4611.42,,
11,4611.42,4610.92,,
12,4610.92,4612.66,4611.38,
13,4612.66,4612.42,4611.444166666667,
14,4612.42,4610.39,4611.488333333334,
15,4610.39,4609.89,4611.444166666667,
16,4609.89,4611.43,4611.420833333334,
17,4611.43,4611.72,4611.501666666667,
18,4611.72,4613.2,4611.6125,
19,4613.2,4614.05,4611.680833333334,
20,4614.05,4616.15,4611.7283333333335,
21,4616.15,4613.28,4612.205833333333,
22,4613.28,4617.14,4612.294166666667,
23,4617.14,4619.64,4612.770833333333,
24,4619.64,4619.37,4613.4975,
25,4619.37,4617.93,4614.056666666666,
26,4617.93,4619.28,4614.515833333334,4612.916538461539
27,4619.28,4620.39,4615.256666666667,4613.200769230769
28,4620.39,4617.74,4616.131666666667,4613.527692307693
29,4617.74,4617.17,4616.6575,4613.79
30,4617.17,4615.92,4617.111666666667,4614.059230769231
31,4615.92,4615.6,4617.338333333333,4614.2692307692305
32,4615.6,4614.17,4617.4675,4614.469615384615
33,4614.17,4611.92,4617.302500000001,4614.538461538462
34,4611.92,4611.13,4617.189166666667,4614.4784615384615
35,4611.13,4611.65,4616.6883333333335,4614.505769230769
36,4611.65,4610.6,4616.0225,4614.483846153847
37,4610.6,4611.67,4615.291666666667,4614.452307692308
38,4611.67,4611.1,4614.77,4614.4811538461545
39,4611.1,4611.13,4614.088333333334,4614.421153846154
